id,tweet,target
2157, AI  revolation  soon is possible  n  fearless   good  goodness,0
2158,Broken As I take this shattered glass And run it down my skin I hope for you the best In your devilish sin,1
2159,DA NEW YR ALONE I AM  BCAUSE OF WAT HAPPENED 2ME ND NOW YA LL WANA MAKE MY  WORSE ? I VE TRIED MY BEST 2GIVE CHANCES I ,1
2160,Gotta do my best today and keep my happiness on and not let anything bring me down . big day today         stoked ,0
2161,I seriously need to stay off Pinterest  I want to try too many things and my bank account just wont let me ???  .,0
2162, GraysonDolan Happy Tuesday Gray  ù  ù  ù   excited,0
2163,My lovely barista just invited me to her bday party this weekend and that alone just made my day.  happy  grateful  blessed,0
2164,In the bath swimming about like a dolphin and there s not hot water left fml  ,0
2165, BollyBigBolt  cheerful That pink makes the other colours pop  x,0
2166,Only thing I ve done today is brushed my teeth & took a bath  .  ,1
2167,This loneliness is a black hole in which I cannot seem to escape . ,1
2168,When I meditated and was healthy  i was much happier and contented .when I had my stroke in the 90 s  less so. With my maladies and  burnout last decade  even more less so. The  was pervasive. Discovering this technique gave me some emotional control back .  pic.twitter.com YS6sWOvlr3,1
2169,?? you are valid??     pic.twitter.com YlAjyOLfaU,0
2170, And when I m laying in my bed  I think about life and I think about death .neither one .appeals to me.    ,0
2171,Damn braids snatched out my edges ????????     ,0
2172,fuck fuck fuck Christmas Ø º Ø º Why Japanese couples want to see illumination??? í? Looking for a girlfriend ,0
2173,Why the fuck am I hanging on this long  why don t I just kill myself? Oh yeah because I still have false hope.  ,1
2174,I don t think I wanna see  for awhile  Disney you went to far with the feels  and I thought Brother Bear was bad,0
2175,hi i cant get out of bed because im,1
2176,HealthTap  I haven t eaten anything all day because I feel  and low What should I do? ,1
2177,No one changed the radio station in the office. It s still on Christmas music.  ??? ,0
2178,We want to help you with your . Give our office a call to learn how  may be the treatment you ve been waiting for ,0
2179,2015 hasnt started yet and I m already fed up with it ,0
2180,They cancelled Chewing Gum.  devastated,0
2181,It s a  when your neighbor loses his job  it s a  when you lose yours.,0
2182,Best anxiety & depression  quick fix   the loving eyes of your pup. The world feels 1000 times more hopeful after a receiving some . pic.twitter.com PlCs6KUyGj,0
2183,I m not sad. I m sick.,1
2184,Waiting for my ins. to kick in so I can get treated for depression. Until then  for a mere 50 cents I can feed these turtles. They make shit therapists though. They keep telling me to drown myself in their pond so I can become one of them. It s not bad they say ???????????.   pic.twitter.com 0QJRWUgAPH   at McGough Nature Park,1
2185,so I just found out that my crush is gay neh and mind you I have an ex who is gay I think am cursed ,0
2186,Well that s the car handed back. ,0
2187,This rain had me dancing in the street  rejoice  rejoice  thetimeofgreatsorrowisover,0
2188,The Hate U Give shows hopelessness when Maverick is thrown onto the road by police without reason and is searched multiple times while his kids have to watch the police abuse their power because they can,0
2189,Can t sleep  been awake for hours  Still haven t come up with an answer   stressed  cantsleep  sotired ,1
2190,Sometimes it s songs in the dark in the smallest world possible that make all the difference.,0
2191,When you ve single for so long and start to wonder do you even still know how to hug ,1
2192,Well  I just had the most depressing dream. It was when I finally found a beautiful girl to call my own  and we had a long  lovely kiss. ??  Only to discover  .it was only a dream. ??  Thank you  dream  for messing me up inside with a LIE    ,1
2193,I reaaaallly don t want to go to work tomorrow   five days off isn t enough  but come Wednesday four more. Can t wait. Love it ,0
2194,   it s not xmas eve w o you boo   BTSophie ,0
2195,Just realized I was too depressed yesterday I haven t ate,1
2196,YOU MIGHT BE TRYING TO FILL THE VOID IN YOUR  HEART WITH ALL SORTS OF THINGS BUT THAT PLACE BELONGS TO JESUS CHRIST  music  worry  love  SMM,0
2197,Or when you are  and you re all like I know all my demons we chat all the time.  pic.twitter.com YadUUZhU6E,0
2198,if jk realize what taehyung did can he do that to taehyung as a revenge? i would love to,0
2199,It just hit me that Ms lopez isn t gonna be my teacher anymore ??? ???  ,0
2200,I hate when my sisters say   I m going kill myself  Ugh so fucking triggering    ,0
2201,Ultimate step to overcoming  and  is to make a positive decision YOU are going to do something about it and when.,0
2202, CeeCee151 This is    ∏èthis is clouded sky      ëç èΩ Å ëè èΩ,0
2203,One of the saddest day of this year for me ??      hope to get out of it soon  ??,1
2204,When your entire dance company that you haven t seen in years is getting together  but you re the only one not going ,0
2205,I got striked by  awesomeness and blinding people by all the  glory   nosleep48,0
2206,I dreamt that  was back. Alas  it was just a dream. ,0
2207, aegyotaetae  oyeakasha One of my favourite clips  ,0
2208,A  pessimist sees the difficulty in every  opportunity  an  optimist sees the opportunity in every difficulty.   Winston Churchill  quote,0
2209,Dean Fujioka s History Maker is on Spotify as well as Breaking Benjamin s Dear Agony.  amazing  wonderful  iloveyouspotify  noonecaresbutido,0
2210,This Wednesday  ChandlerBMusic  kickstarter begins  Y all be READY   ChandlerBayMusic  ChandlerBayEP  tantrum,0
2211,tl dr looks a lot of  foreign  family overseas as well  since it might be more like ,0
2212,Hammered af. And just watched the bengals lose.,0
2213,Happy birthday  primo can dance have a blessed one my G   Ç çæ,0
2214,When you repress your emotions so much it takes days to figure out you re not just being tired and lazy ,0
2215,I hope my eyes were camera that records all happy moments ,0
2216,It doesn t help that I live on my own in a bachelor apartment the size of a storage locker. I need to find a bigger  & better apartment.   ,1
2217,Idk how I m gonna be able to go to lover I have to buy tickets with my own money and I m literally broke,1
2218,Ot6 still exist?  julid  deletesoon ,0
2219,Well just thoroughly depressed myself while sifting through photos from Australia to burn to CD for my Nana  ,0
2220,A.M. choice if you re mentally well  What clothes should I wear? A.M. choice if you re   What mask should I wear? ,0
2221,A joyless faith is not one for which Jesus died.  thegospel  joy  Jesus  happiness,0
2222,see me  smiling at my  past like what was I thinking?  nFind  rest oh my  soul d  seas   storms still know HIS name.  n JESUS n iLoveJesus,0
2223,A simple wallpaper ever  ,0
2224,  ?Why Did You Separate Me from the Earth?   ANOHNI   ,0
2225, muqryyy happy birthday machaaaa   à    stay awesome and murah rezeki selalu  ,0
2226,Loneliness is what that happens in silence When darkness creeps towards the   Deep Corridors of mind Without disturbing anyone ,0
2227,why doesnt she like meeeeeeeeeee,0
2228,Goodbye world I look like a newborn and will never be emerging from under my comforter  & ,0
2229,The best photo that describes me ??     ??    pic.twitter.com HZngzZlxu6,0
2230,I don t want to be bother such a screw up ,1
2231,Free yourself from the poisonous and laborious burden of holding a grudge.  SteveMaraboli  quote,0
2232,Being so fucking composed all the time is getting tiring  I need to have a mental breakdown at some point   ,1
2233,I feel so mentally tortured right now. Dunno what to do  &  Feel completely out of control.,1
2234,I m just going to say it. I m a complete fucking mess here  Seriously wanting to just run and kiss a certain individual. She knows who she is. I can t tag her in it tho. She is still my better half.,1
2235,I am so sad I have to work on Christmas. My favorite time of year & I m gonna be working & or alone in my apartment ??????????,1
2236,In order to  expand beyond the places that are familiar  you have to do things that scare you.,0
2237,That took longer than expected lol. Was hella fun though and a good learning experience. If you ve got any questions don t hesitate to ask ,0
2238,Rewatching RKellys trapped in a closet series      classic  hilarious,0
2239, executivegoth I tried a free Alpha trial to watch  dread and I m sold. Worth the subscription alone. You all are incredible ,0
2240,  ìI didn  want to wake up. I was having a much better time asleep. And that  really sad.  ,1
2241, SteveConteNYC lovely    ,0
2242,Been listening to Metallica and Nirvana the whole day. ,0
2243,Spending the majority of the day in bed relaxing &amp  catching up on  Hollyoaks     relax,0
2244, nytimes  pattonoswalt I am so happy that you were able to expands your heart and find happiness again  congratulations   ,0
2245,feeling like a grim reaper all day hehehe n9 days pa   ∏è,0
2246,Grinchmas ends in a week and I haven t gone and probably won t go. ???  ,0
2247,today is my last day of cipralex     now on to the next drug  . ??Ø ∏ ,1
2248, BroxtonDaniel I love you more than anything. I m so glad we re able to make each other so infinitely happy ,0
2249,Suicide  at 50 year peak    pic.twitter.com ORXFwCDC6G,0
2250,131  Lyttleton  Love can hope where reason would despair.,0
2251,What I feel like when I realize that there s no more Walking Dead until February 14th    ,0
2252, coutbaek i did  i cried from laughter way too much HAHAHAHAHHAHAHAHAAHGAHAHA  
 
,0
2253,i hate getting so sad to the point where my body completely shuts down  and all i can do is just lay and think about all my problems. ,1
2254,Applied to 5 universities already. Now I need my Fasfa and scholarship letters ,1
2255, AnteHarper I always preferred the quiver,0
2256,People are so thankful for their life around . I get  because I don t feel anything.,1
2257,I have never experienced more of an emotional rollercoaster like I did with my  and  than I did yesterday. Not since I was at least 19. The guilt I feel today for how I treated my child is immense. These disorders are no joke. I m sorry and I love you  Bug.,1
2258,the tears will cry   the pain will tear the world may hope   life may live,0
2259,Well that s that  seeing my way out of this shitty yr with a shitty night in bed feel ill still and miserable . ??? ∞??? ∞??? ∞???,0
2260,I really feel lk crying right now   ,1
2261,I ve finished a whole jar of nutella in the past hour,0
2262,My  dark heart is filled with glee whenever I hear  thunder.,0
2263, dp srk rk It s going 3 only. He has berdych tomorrow. Nothing to worry. Easiest draw,0
2264,Why do i always get treated like this .ugh   ,1
2265,It s really so sad  these stories about shootings. Makes me feel so  trying to keep my head up and not crash down again. Z,1
2266,Shakespeare Dictionary  The word  knotty pated  means  block headed  dull witted  ,0
2267,I can t even think about football let alone watch it this afternoon,1
2268,Watching Air Force One  good film but not paying much interest in it. Feel too rough ,1
2269,Be happy. Be confident. Be kind. n n  KissablesLoveSMShopmag nAllOutDenimFor KISSMARC,0
2270,I love Christmas but this year it just isn t the same . I can t figure out what it is either . ,0
2271,hate tan lines but refuse to tan at a salon anymore.  ,0
2272,I m extra lazy today  ü,0
2273,Anyone got kik? I need someone to talk too   ,1
2274, MFaizAbdulKarim And i m serious  20 23 july  singapore  holiday  and accompany my friend for job interview   with one of my friend.,0
2275,My head is anointed  my cup runneth over Don t pour from an empty cup  delight  love  joy,0
2276,so like . i lost all my followers but when i press the thingy to show who i m following and who my followers are  they re all there .   Send help ?????   ,0
2277,Watching your  video is a good way to remind yourself of why you re ,1
2278,Like I m going for a subway when I clearly shud be eating salad ??  ∑???  ,0
2279,I m okay.    Thank you for staying when everyone else left.,1
2280,Loneliness is probably one of the worst feelings there is. That s why community is such a high priority for us here at Christians Against Poverty. We want our clients to know that they re not alone   we are on their side.,0
2281,A shout out to all fellow  12Step pers. You got this   recovery   clean,0
2282,I finished Game of Thrones last night .what am I gonna do with my life until April ?,0
2283,Crazy magic   that moment when you have a fantastic idea for your next novel and the momentum builds   nNothing better   n  writing ,0
2284,You dare threaten me  Thor  with so puny a weapon? ,0
2285,OTH got me feeling some type of way.  ??? ,0
2286,how much attention does a kid need that he tags  and  on his instagram post  man up lil bih,1
2287,You try hard to forget the person whom you loved more than yourself.    pic.twitter.com SzLSq8MsNQ,0
2288, SueLeibman Just got an audition for a lead role in a  SAGFilm  actor  moviestar  awesome  happy   IMDb  Me  RT,0
2289,Are you feeling like you don t deserve to be going through all of this love problems have you given your whole heart to this person has this person betrayed you and make you feel like you re at nothing DM free reading today    pic.twitter.com dDCsytXjbl,0
2290,That moment you miss someone and hurting over the memories and when you got a crush and looked like an idiot going to his dad for his number cause you don t know how to talk to him and looked like a bigger idiot asking to be good friends,1
2291,Therapy is all screwed up during the holidays  left me feeling out of sorts worse than the holidays themselves  ,0
2292,im gonna rejoice because im gonna see jr and aron .,0
2293,We are all so much together  but we are all dying of loneliness.   Albert Schweitzer   ??  ??? ,0
2294,Full of  optimism after the FP Summit yesterday. Thanks to  melindagates  FP2020Global  UNFPA and  DFID UK we re thinking about  HerFuture,0
2295,What I have to say about not posting since September is NEVER try suicide. Life is so worth so much more than a handful of pills.,1
2296, happy  birthday  day trip  great day  super nice weather  blue sky  good mood  fun  love  ice cream  lycklig  f∂delsedag  ∂land,0
2297,They love and want each other very much but they re timid and egoistical and just . just let your walls down   ,0
2298, LATMultilingual Thanks for the shoutout  Will we see your team at  MortonPark on Thursday?  Smiles &amp   laughter guaranteed    ,0
2299,You know things are bad when your emotions slide because WordPress blocks one of your blog posts.  ,0
2300, MGBarbieri  SpalkTalk And just saw your LinkedIn comment after I sent this  Thanks for the message   ,0
2301, Beautiful  delightful  noble  memorable  as is the world  I yet am well content in my shady crevice  Christina Rossetti  ,0
2302,When you feel like you have no friends at work anymore    out,1
2303,Welcome to the panic room Where all your darkest fears are gonna Come for you    pic.twitter.com 8k0iXet8z5,0
2304,     Youngsters need to speak against their family when they are wrong     ???????? ???? ?? ??? ?? ???? ?????? ??? ?????? ???? ?? ??? ?????  ?????????? ??? pic.twitter.com 9NusC7RpLi,0
2305, PressSec Psalm 128 1 nA Song of Ascents. Blessed is every one who  fears the  Lord  Who  walks in His  ways.,0
2306,I decided to get fat over the holidays from thanksgiving to New Years. This is my last week of pigging out,1
2307,Why is it the most depressing thing when your book ends  . Especially not in a satisfactory way  ??? ??? ??? ??? ??   ?  ,0
2308, Kawells00 So bright that kill my heart ,0
2309,Back at work    This week off went so fast   ,0
2310,This morning  I m resetting my world view. I can t imagine not being able to save my child  my friend  my parent  or the stranger standing next to me from gun violence. Survivor guilt is brutal. Let us agree that modern mass shootings must stop. ,0
2311,Rain  the cold  wind and the first ripe cookers of the year. Autumn s coming early to South Buckinghamshire   pic.twitter.com OvflB8Foef,0
2312,Sometimes the most difficult thing for a person is facing themselves.,1
2313,What is the base of the power? When it can be definite  power ?The loneliness or the company create it?   ,0
2314,Winter and holidays can be challenging seasons for older adults  especially for those living alone.  Come to EPL September 5 at 6 00 PM to learn ways to deal with . Our special guest will be Cris Hughes from AARP.  pic.twitter.com rh0S4FhIm9,0
2315,Sometimes when you plan your day to be the most productive  depression puts you down anyway. You have to be your best even then and proceed with your plans.   ,0
2316, Benmorris04 happy birthday big man  ë  Ω∏è,0
2317,Jordan is helping Arya hunt a moth  lifting her up to get it on the walls. it s super adorable.  kitten  boyfriend  adorable  hunting,0
2318, F3Alpha  F3Roswell  Preblast nI ve been handed the keys to Roswell Area Park. See you in the gloom. Be ready to slip &amp  slide at 0530,0
2319,Coming up on snap chat so add me asap MATEO BKNY  snapchat,0
2320,I m so fuckin upset rn. Not coming back to twitter for a while. I m so fucking done with everything rn. This sucks.,1
2321,To ppl tweeting  The leading cause of depression is reality.   How pithy. What know you of ? Show some empathy. Just stop it.,0
2322, Among the things you can give and still keep are your word  a  smile  and a grateful  heart.   TheZigZiglar  Success  Leadership,0
2323,New  madden franchise league on XB1 coming soon Follow &amp  DM if interested full 32 team league 1st 5 help decide rules &amp  rosters,0
2324,Nice to be able to turn the alarm clock off until next Tuesday morning.  awesome,0
2325, tiffanyreisz Never a dull moment with you two ,0
2326,Just realised I haven t cleaned my teeth in days,0
2327,Will start this new year as I did last one . Jobless and skint    ,1
2328,I hope you smiling and just laughing your soul out  lebeomak . I love you so much  My Person n                          n                            ,0
2329, nadisaonline i m very happy glad or whatever the feelings i m not into dramas,0
2330,I saw a sad video and it ruined my whole day. So now I m drinking a michelada and just bought 60$ worth of weed,0
2331,RT StayYoungMedia Cure your  without the harmful side effects of    pic.twitter.com QZzAgrOZbb,0
2332,If your nail polish has hardened or is gummy  place the bottle in a pan of boiling water. The polish will be like new.,0
2333,My bf said him and his parents drunk wrapping gifts ????????,0
2334,So happy Steven and I were together to experience that    she s so beautiful,0
2335,Add me on Snapchat  Dm me for my snapcode   amosc  snapchat  sc  snap,0
2336,God knows why we re  Only he can set us free  For in much wisdom is much grief and he that increaseth knowledge increaseth sorrow ,0
2337,Happy Winning Wednesday   Each day is a day of new possibilities. Keep pushing and keep your head up.  live  love  laugh  reachforthestars,0
2338,   every time somebody tries to do something good  so much is fabricated that common man fails to decipher ,1
2339,Honestly I could use someone to talk to ,1
2340,For those feeling   or  during this festive period feel free to reach out. Here to listen ??    ??  ,0
2341, pattonoswalt  EricaRoman  Amazing how folks are foaming at the mouth to judge. We re happy for you  pattonoswalt           ,0
2342, bronliejacobs Happy Birthday Bronz ù∏è love you smmm  have a wonderful day   ,0
2343,that u can t get a dr s note to excuse u from work b c of your . So u go 2 work anyway & fake it.,0
2344,H ve you ever  tweeted a tweet liKE     etc etc   .????  People will likes them tooo  So don t show your sadness in social media .    Be StrOng  ,0
2345,Jus when something makes you happy it fucking puts you right back in your place ,1
2346, Depression  a strange yet comforting company.     ,1
2347,finally finished one tree hill & now I don t know what to do with my life,0
2348,No idea what to say to myself ,1
2349,Can t believe this Christmas is going to be a repeat of last year.,1
2350,I just had another one of my breakdowns. I saw it coming. I ve been feeling it for days. Back in isolation I go   ,1
2351,I hate this feeling  but I brought it on myself   I hope that those I have hurt won t give up on me ??,1
2352,The deep  I thought passed last week has come back stronger than before. I need you  please just text me.  pic.twitter.com fvfT6oKokh,1
2353,To come out of   you make friends but coming together in knowledge is rare. Be a friend in knowledge and uplift each other.,0
2354,Looking forward to  CongletonFC playing  FCUnitedMcr tonight. 7.30 start   comeonthebears,0
2355,Ain t nothing like a good leg workout to start of the day   ,0
2356,can have many different symptoms.  pic.twitter.com CeORRKfncL,0
2357, dngokingyok They are my hetero guilty pleasure  ,0
2358, fans  gamers what you think  EAMaddenNFL 18 is going to rate the  Dolphins  offense  defense special teams rating &amp  rank out of 32 teams,0
2359,comment   I ve had tough times but I would never consider    this is stigma this is ignorance    ANYONE pic.twitter.com yjJOgmHM3D,1
2360,Happy belated birthday koy   pic.twitter.com YyTNdO2TcX,0
2361,I am  extremely  talented and had  manyexperiences people wouldn t  wish  for and  dread yet had amazing moments too .  life  psychic,0
2362, AUTISM AND DEPRESSION    . I hate it when I get the feels . If you suffer from autism  you ll probably get this image .     pic.twitter.com rz3zmMaK9a,1
2363, HillF1  SilverstoneUK I m coming on Saturday for Qually and the race on Sunday  can t wait    excitement  needalewiscap,0
2364,just watched  Alicelevine on Love on  BBCiPlayer  hilarious,0
2365,I haven t talked about hoarding and depression in a while. I m on a quarter dose of meds now. And I m still a bit stuck with hoarding. Decided to try to do some removal for efficiency today. I found a dotmatrix printed transcript of  from . Fullpost Twittr.,1
2366, BCFC Community excellent Jnr blues parents Meeting tonite lots of info given cheers all ëç  futuresbright development baileyu12s  excited   Ω,0
2367,No Michelle Obama USA is NOT entering a time of . Actually now that barrack is leaving we have GREAT  for our future  ,0
2368,ur best is plenty good enough 4 anyone or anything that is meant 4U??Don t let ppl nor circumstances kill you??,0
2369,Fresh wounds are best means of relief from inner stress .   ,0
2370, TeeqoFaZe Didnt make the Teeqo OMEGLE CUT         ,0
2371,Why does certain things happen? What can be done to change this? Questions  are the worse.   ,1
2372, creeps inside when not the entire world becomes silent  but the one you care most. ,0
2373,The best thing about  australianninjawarrior tonight is watching the failed attempts on the bomb slider.  hilarious  laughingsohard   ,0
2374,Featuring grilled halibut with a lime basil crust and a yellow tomato and lobster coulis  yummy  seafood,0
2375,Up at 4am  angsty about not able to exercise  injury   desperate to run away on adventure   Fucking  fuck  Black Dog s hunting ,1
2376,Why was 6 afraid of 7? nCause 7 ate 9. BUT  why DID 7 eat 9?? nBecause you should eat 3 squared meals a day     jokes  meme  dankmemes  funny,0
2377,I think I have hit rock bottom as a  fan  ????,0
2378,That feeling when you get your drawing tablet  and your not a pro expert manga drawer right off the bat. ,0
2379,fuck that guy who made me feel like shit again.  ????,1
2380,All a Nigga wanna do now send time with his girl . . is that so much to ask ?? Asf,0
2381, IrregularChoice  about 6 7 of the rose gold balls have come off  ≠  devastated,1
2382,This year was the first time I couldnt make it home for Christmas ,0
2383,I thought nothing bad happened on Christmas Eve       ,0
2384,Re  problems that continue to perplex us all   Say not  There is no silver bullet     This is  being only human   which is draining  and leads to    But say  There is no silver bullet  YET    Acknowledges our divinity as well  is fulfilling  and gives us  ,0
2385,I wanna die. Stop to cry.,1
2386,This game in El Paso looks like a high school game ,0
2387,EAHelp  mcmalveiro Hi Miguel  that s awesome  Thank you very much for updating us    Claire,0
2388, LifeWithSelG  Despacito u came into my life nur aroma flared my life up nur almond eyes makes my  Pulse gushing nur  smiles gleam me bright,0
2389,I m not sure why we get excited for  it s just one day closer to our deaths     anyhow drink up tonight ??? ,0
2390,I can t sleep knowing Brittany is leaving in a couple days  ????????,0
2391, BuffettSongs  life is so spicy up on bar b q hill .looking good  you look so fine   soveryfine  wow    ,0
2392,Edge of my seat  GameOfThrones loved it  dragonsontheWall ,0
2393,I really need to know which  composer wrote  Bubbles   if only to know who to blame for my week long melancholy . ,0
2394,Just seen recent pics of Liz Hurley in swimming costume   she looks amazing  ç  beauty ,0
2395,Biggest regret till now    Ageing beyond teens   ,1
2396,Little bit leave it  the best bit of love island so far   ¥  loveisland  hilarious  No1,0
2397,Sometimes you have to smile to hide your fears and to laugh to hide your tears,0
2398,Being deprived of God  joy will lead you to addictive carnal pleasure . Looking for Love in all the wrong places .  ,0
2399, queenjlouise  mamaw gereck awe thanks  ,0
2400,I have uploaded my first article for  TheProteinWorks  Keep your eyes open for more   ™  recipes  nutrition  gainz  delicious  biggestfan,0
2401,God s help for Israel in Isaiah 41 10  is for u today. Don t be afraid or discouraged  He s ur God who will strengthen  help &amp  hold u up.,0
2402, hyde myself Yes  Mom. That s my alarm XD,0
2403,If I could  I would stay in bed until next Monday. ,1
2404,A pineapple is neither an apple or a pine. It is  in fact  a large berry.,0
2405,It s hard not to be part of the 22  remain strong and get HELP   ,1
2406,Social connections are important throughout our lives      pic.twitter.com TpvuN7eGQv,0
2407,Creator  Jack Dorsey   The definition [of  Twitter] was  a short burst of inconsequential information   and  chirps from birds . ,0
2408, realDonaldTrump where s the proof? ,0
2409,World is crumbling around me but hey .2017 is nearly here .that should fix everything   Haha yeah right     ,0
2410,I follow this famous chick on snap and she put  I m snapping back  &amp  next snap says  dudes stop sending your peepees  it s not cute.     ,0
2411,Streetlights coming on. We can see stars   amazing  SolarEclipse2017,0
2412,When you re  you don t control your thoughts  your thoughts control you.,0
2413,  ì JamieLOVEHarris  is the sun ever gonna shine again?   YES  it WILL    ,0
2414, vvixie Thanks bby  tiff got a pair too so I ll probably steal hers lol,0
2415,If this shit ain t making me famous soon . Igc   Or something   If anyone feel petty for me  Then PLEASE HELP ME  ?? I just wanna be loved and appreciated    And igc = I m gonna cry   And not I m going crazy. If anyone asks.,0
2416,love to see them interacting  ∏ ôè  itsbeensolong  laughing,0
2417, smiles are great investment. The more we collect  the better we feel  have a nice smiling day .  goodmorning,0
2418,I feel bad no money for gifts for anyone I pay my bills money is gone   ,0
2419,I m on my way with my best friend to the airport. She flies back to the states today.   ,0
2420, ChristinaSNP All this great news  it must be hurting some folk to be happy about this.  ,0
2421,Well seeing the  Eclipse2017 was  amazing really cool even though it only lasted 2 mins,0
2422,  bandobssessedm  I deserve every single one of them.    pic.twitter.com KQKxsY3KZX ,0
2423,107   ???????????????????????????  ?????????????  .   ??????????????????????????   ??????????????????????????????????   ???????????????????????????????   ???????????????????????????????????????????????????????????????????????????????????????????????????????????????????   ?????????  .?????????????????,0
2424,Today I decided to admit to myself that through all that I ve been going through this year I m happy  ,1
2425,I can t get the images of  out of my mind. Everywhere was busy. It s not like there s no money around   more like there s no will to change the status quo. ,0
2426,I m going to keep banging on about this  cos it s true. What you focus on  you get more of. Stop telling yourself you re  or . Tell yourself you re happy  strong  confident  powerful. Not only cos you ARE  but cos your brilliant mind listens to what you tell it. pic.twitter.com gBQn7yEjsJ,0
2427, help dms    So good lunch  ,0
2428,Tweet at me some cool  madden clips u got,0
2429,  ?4 Degrees   ANOHNI   ,0
2430,I use this social media outlet to bitch. It s my bitching platform. I m quiet on everything else. It s not like anyone cares. ,0
2431,Happy birthday to one of the many founders of this fabulous company  blessed  TuesdayMotivation  begreat,0
2432,Avoid facial cleansers containing harsh chemicals which irritate and weaken the protective barrier of skin. Use natural cleansers.,0
2433,They promised I would go blind but I still got 20 20 ,0
2434,Mind that night out I had over Christmas?  Nah me either  ,0
2435,I m in such a good place right now  so happy .   I just wanted to share that  positivevibes  optimism  followingmydream,0
2436,I am trying 2 make a list of the ppl I twt 2 regularly  so if u wanna b on it  twt me and say hi    ,1
2437,I think our dreams can motivate us more than our fears can paralyze us.   ~  Chris Hogan   dreams  fears  life,0
2438,I hate not having a job. ,1
2439,Happy new year to everyone and all the best for 2015  ,0
2440,Oh Canada   ®   shouldn t be sung like that.  terrible  MLBTHESHOW17,0
2441,Depression may carry a feeling of worthlessness in which you feel like you can t do anything. This only makes you feel worse about yourself and drags you into an even deeper state of . To push back  set small daily  for yourself that you can accomplish for sure  pic.twitter.com VhC03lIbpW,0
2442, bcolonx what you leave me? I just came from DR to this   ???  ,0
2443, therapy could be an effective option for treating  in adolescents.  pic.twitter.com Dqo97PbLfn,0
2444, russ kent  IsabelOakeshott Inexplicably well paid talking head who lectures in impenetrable consultu speak  dire,0
2445,Now playing     on Forever Hits,0
2446, ghibIiyoongi happy birthday love       Å i hope you re having the best day  i m glad we met ,0
2447,Not trying to offend nobody,0
2448,I got to ride with and witness Amanda Coker break a 77 year old bicycling world record. Awesome athlete    amandacoker  tdf  relentless,0
2449,Alright Charlie St. Cloud you ve done it again . Next the fault in your stars or garden state . Maybe the notebook? ,0
2450,A day saturated with  and . Brutal. Oh  the human mind. What an enemy.,1
2451,Yes brain. This gloomy  sad  turbulent  low energy feeling is a sign of my certain death. Now is the time to get worried. ,1
2452,No no no  everyone is starting to go back to school & I m not ,0
2453,Just enjoyed a delicious salad drenched in Theon Nectar s Greek Extra Virgin Olive Oil    absolutely DELICIOUS   Mmmmm   yummy  healthy,0
2454,Tu me haces reir.   You make me laugh.    laughs  friends  jaja  haha,0
2455,Goodevening   ,0
2456,I can t get myself out of this rut. I want to die. But I care too much about everyone else. So I will continue to be miserable. ,1
2457, NikkiWoods Start where you are. Use what you have. So what you can. AND do it with a  smile and  confidence.  ù ,0
2458,I make nebulizer look sexy  DarthVader  breathless  sexy  nebulizer  girl,0
2459,Hope is beginning to leave my body  one step at a time.  ,1
2460,And all the bullshit in your live ends and nothing will bother you ever again  depression,1
2461,Social media can be the worst thing ever   ,0
2462,Knowing you can help someone   but you can t even help yourself   ,1
2463,What depression mean    Laugh outside down inside   pic.twitter.com tkZeniwtIb,1
2464,When I m at work and depressed dont say  you look unhappy . I m here and working  what next you ll go to Disney world  and tell little kids that that it s not the real character. I m doing my best  don t shatter my illusion.  ,1
2465,If u r   u r living n the past. If u r anxious  u r living n the future. If u r   peace  u r living n the present Lao Tzu ,0
2466,Dear Emma its my honor to communicate with you directly kindly give me this tremendous opportunity to chat via Whats App 00966504634031 thx,0
2467,It was a great feeling being able to cheer you on while you passed me at your second bike loop this weekend. Great race  SebastianKienle  ,0
2468,Older  people may have cognitive symptoms of recent onset  such as   and a more noticeable slowing of movements.,0
2469,Thank you  for highlighting   as an Epidemic .  We humans are pack animals and not meant to live in isolation. We don t have the speed of jaguars or the strength of gorillas but we do have social connections skills. We need each other to survive.  pic.twitter.com FR89506MZ7,0
2470,I ve had 18 beers today and I m going to have more. It s gonna be a long day  ,1
2471,Headed home from Dallas to bury my dog that we ve had for 15 years .    ????????????????,1
2472,Well  the good thing is that I don t cut myself anymore tho. ,0
2473,Watching Senator Adeleke and his joyful dance steps this morning got me rolling. Dude can bougie,0
2474, ddlovato rowing 3000 miles across the Atlantic Ocean with  and  in a fight to  can I get a RT please ??  ??  ??  ,0
2475, 16 vica  strange but  amazing but I  love your  pictures  ç,0
2476,I m falling apart and no one cares   pic.twitter.com 2APJu6tKV0,1
2477,6  yrs of saving & my eye sight staying the same  i was excited for  . Just found out  im not a candidate.  very ,1
2478, justapenname  lettrs  RealJamesWoods btw you re a  brilliant,0
2479,I m on my 14th or 15th beer now. God I m so alone please let me die.  ? π??    ,1
2480,I made a joke &amp  my boyfriend laughed but when I looked over he was actually laughing at a video on his phone  sad  &lt  3  hurting  brokenheart,1
2481,Wont be watching Veronica Mars anymore. Wasnt it enough that she lost Lilly  Duncan and her own mother? Ya gotta strip her of everything? Theres got to be something uplifting in a show that makes you wanna keep watching. Makers of Veronice Mars you screwed up. BAD. ,0
2482,About to watch the eclipse in astral valley with the longest time in totality across the country   thankful,0
